sample_id,pulse_duration_fs,repetition_rate_kHz,hatch_spacing_um,scan_speed_mm_s,pass_count,mean_depth_um,source_row,summary_monotonic,source_file,observation_definition
zr-pass-024,500.0,10.0,8.0,5.0,3,19.91,25,True,C:\Users\RZF\Desktop\博士课题资料\工艺仿真软件\ultrafast-demo\docs\experiments\laser_proc_2026-09-18\depth_vs_passes.csv,audited_depth_vs_passes_mean_um
zr-pass-023,500.0,10.0,8.0,5.0,4,25.14,24,True,C:\Users\RZF\Desktop\博士课题资料\工艺仿真软件\ultrafast-demo\docs\experiments\laser_proc_2026-09-18\depth_vs_passes.csv,audited_depth_vs_passes_mean_um
zr-pass-037,500.0,20.0,6.0,15.0,1,9.36,38,True,C:\Users\RZF\Desktop\博士课题资料\工艺仿真软件\ultrafast-demo\docs\experiments\laser_proc_2026-09-18\depth_vs_passes.csv,audited_depth_vs_passes_mean_um
zr-pass-038,500.0,20.0,6.0,15.0,2,17.41,39,True,C:\Users\RZF\Desktop\博士课题资料\工艺仿真软件\ultrafast-demo\docs\experiments\laser_proc_2026-09-18\depth_vs_passes.csv,audited_depth_vs_passes_mean_um
zr-pass-039,500.0,20.0,6.0,15.0,3,23.1,40,True,C:\Users\RZF\Desktop\博士课题资料\工艺仿真软件\ultrafast-demo\docs\experiments\laser_proc_2026-09-18\depth_vs_passes.csv,audited_depth_vs_passes_mean_um
zr-pass-040,500.0,20.0,6.0,15.0,4,28.82,41,True,C:\Users\RZF\Desktop\博士课题资料\工艺仿真软件\ultrafast-demo\docs\experiments\laser_proc_2026-09-18\depth_vs_passes.csv,audited_depth_vs_passes_mean_um
zr-pass-058,500.0,5.0,6.0,25.0,1,5.2,59,False,C:\Users\RZF\Desktop\博士课题资料\工艺仿真软件\ultrafast-demo\docs\experiments\laser_proc_2026-09-18\depth_vs_passes.csv,audited_depth_vs_passes_mean_um
zr-pass-060,500.0,5.0,6.0,25.0,2,4.96,61,False,C:\Users\RZF\Desktop\博士课题资料\工艺仿真软件\ultrafast-demo\docs\experiments\laser_proc_2026-09-18\depth_vs_passes.csv,audited_depth_vs_passes_mean_um
zr-pass-059,500.0,5.0,6.0,25.0,3,7.51,60,False,C:\Users\RZF\Desktop\博士课题资料\工艺仿真软件\ultrafast-demo\docs\experiments\laser_proc_2026-09-18\depth_vs_passes.csv,audited_depth_vs_passes_mean_um
zr-pass-057,500.0,5.0,6.0,25.0,4,10.64,58,False,C:\Users\RZF\Desktop\博士课题资料\工艺仿真软件\ultrafast-demo\docs\experiments\laser_proc_2026-09-18\depth_vs_passes.csv,audited_depth_vs_passes_mean_um
