section,axis,coord,depth,height
y=2e-05,x,6e-06,8.879999999999939e-07,-8.879999999999939e-07
y=2e-05,x,7e-06,8.519999999999894e-07,-8.519999999999894e-07
y=2e-05,x,8e-06,7.919999999999848e-07,-7.919999999999848e-07
y=2e-05,x,9e-06,7.079999999999802e-07,-7.079999999999802e-07
y=2e-05,x,9.999999999999999e-06,6.000000000000253e-07,-6.000000000000253e-07
y=2e-05,x,1.1e-05,7.080000000000156e-07,-7.080000000000156e-07
y=2e-05,x,1.2e-05,7.920000000000116e-07,-7.920000000000116e-07
y=2e-05,x,1.3e-05,8.520000000000075e-07,-8.520000000000075e-07
y=2e-05,x,1.4e-05,8.880000000000033e-07,-8.880000000000033e-07
y=2e-05,x,1.4999999999999999e-05,8.999999999999992e-07,-8.999999999999992e-07
y=2e-05,x,1.6e-05,8.879999999999951e-07,-8.879999999999951e-07
y=2e-05,x,1.7e-05,8.519999999999912e-07,-8.519999999999912e-07
y=2e-05,x,1.8e-05,7.91999999999987e-07,-7.91999999999987e-07
y=2e-05,x,1.8999999999999998e-05,7.079999999999832e-07,-7.079999999999832e-07
y=2e-05,x,1.9999999999999998e-05,6.000000000000235e-07,-6.000000000000235e-07
y=2e-05,x,2.1e-05,7.080000000000127e-07,-7.080000000000127e-07
y=2e-05,x,2.2e-05,7.920000000000091e-07,-7.920000000000091e-07
y=2e-05,x,2.3e-05,8.520000000000055e-07,-8.520000000000055e-07
y=2e-05,x,2.4e-05,8.880000000000019e-07,-8.880000000000019e-07
y=2e-05,x,2.4999999999999998e-05,8.999999999999983e-07,-8.999999999999983e-07
y=2e-05,x,2.6e-05,8.879999999999946e-07,-8.879999999999946e-07
y=2e-05,x,2.7e-05,8.519999999999908e-07,-8.519999999999908e-07
y=2e-05,x,2.8e-05,7.919999999999874e-07,-7.919999999999874e-07
y=2e-05,x,2.9e-05,7.079999999999836e-07,-7.079999999999836e-07
y=2e-05,x,2.9999999999999997e-05,6.0000000000002e-07,-6.0000000000002e-07
y=2e-05,x,3.1e-05,7.080000000000142e-07,-7.080000000000142e-07
y=2e-05,x,3.2e-05,7.920000000000106e-07,-7.920000000000106e-07
y=2e-05,x,3.2999999999999996e-05,8.52000000000007e-07,-8.52000000000007e-07
y=2e-05,x,3.4e-05,8.880000000000038e-07,-8.880000000000038e-07
y=2e-05,x,3.5e-05,9.000000000000005e-07,-9.000000000000005e-07
y=2e-05,x,3.6e-05,8.87999999999997e-07,-8.87999999999997e-07
y=2e-05,x,3.7e-05,8.519999999999937e-07,-8.519999999999937e-07
y=2e-05,x,3.7999999999999995e-05,7.919999999999904e-07,-7.919999999999904e-07
y=2e-05,x,3.9e-05,7.079999999999869e-07,-7.079999999999869e-07
y=2e-05,x,3.9999999999999996e-05,6.000000000000035e-07,-6.000000000000035e-07
y=2e-05,x,4.1e-05,5.939999999999981e-07,-5.939999999999981e-07
y=2e-05,x,4.2e-05,5.759999999999965e-07,-5.759999999999965e-07
y=2e-05,x,4.2999999999999995e-05,5.459999999999948e-07,-5.459999999999948e-07
y=2e-05,x,4.4e-05,5.039999999999929e-07,-5.039999999999929e-07
y=2e-05,x,4.4999999999999996e-05,4.499999999999913e-07,-4.499999999999913e-07
y=2e-05,x,4.6e-05,3.8399999999998925e-07,-3.8399999999998925e-07
y=2e-05,x,4.7e-05,3.0599999999998773e-07,-3.0599999999998773e-07
y=2e-05,x,4.8e-05,2.1599999999998563e-07,-2.1599999999998563e-07
y=2e-05,x,4.9e-05,1.1399999999998424e-07,-1.1399999999998424e-07
y=2e-05,x,4.9999999999999996e-05,8.88178419700125e-23,-8.88178419700125e-23
y=2e-05,x,5.1e-05,0.0,0.0
y=2e-05,x,5.2e-05,0.0,0.0
y=2e-05,x,5.3e-05,0.0,0.0
y=2e-05,x,5.4e-05,0.0,0.0
y=2e-05,x,5.4999999999999995e-05,0.0,0.0
y=2e-05,x,5.6e-05,0.0,0.0
y=2e-05,x,5.6999999999999996e-05,0.0,0.0
y=2e-05,x,5.8e-05,0.0,0.0
y=2e-05,x,5.9e-05,0.0,0.0
y=2e-05,x,5.9999999999999995e-05,0.0,0.0
y=2e-05,x,6.1e-05,0.0,0.0
y=2e-05,x,6.2e-05,0.0,0.0
y=2e-05,x,6.3e-05,0.0,0.0
y=2e-05,x,6.4e-05,0.0,0.0
y=2e-05,x,6.5e-05,0.0,0.0
y=2e-05,x,6.599999999999999e-05,0.0,0.0
y=2e-05,x,6.7e-05,0.0,0.0
y=2e-05,x,6.8e-05,0.0,0.0
y=2e-05,x,6.9e-05,0.0,0.0
y=2e-05,x,7e-05,0.0,0.0
